"","File","OBJECTID","NAME","SHORTNAME","degx","degy","region","T_eventSD_endcen","T_eventSD_historic","T_eventSD_midcen","pH_eventSD_endcen","pH_eventSD_historic","pH_eventSD_midcen","DO_eventSD_endcen","DO_eventSD_historic","DO_eventSD_midcen","T_seasonalSD_endcen","T_seasonalSD_historic","T_seasonalSD_midcen","pH_seasonalSD_endcen","pH_seasonalSD_historic","pH_seasonalSD_midcen","DO_seasonalSD_endcen","DO_seasonalSD_historic","DO_seasonalSD_midcen","Temp_mean_endcen","Temp_mean_historic","Temp_mean_midcen","Temp_low10_endcen","Temp_low10_historic","Temp_low10_midcen","Temp_high10_endcen","Temp_high10_historic","Temp_high10_midcen","DO_mean_endcen","DO_mean_historic","DO_mean_midcen","DO_low10_endcen","DO_low10_historic","DO_low10_midcen","DO_high10_endcen","DO_high10_historic","DO_high10_midcen","pH_mean_endcen","pH_mean_historic","pH_mean_midcen","pH_low10_endcen","pH_low10_historic","pH_low10_midcen","pH_high10_endcen","pH_high10_historic","pH_high10_midcen"
"73","tphdo_mpa_55",55,"Natural Bridges SMR","Natural Bridges",-122.09501,36.95562,"centralca",1.13350603895113,0.925055258119659,0.988333853249823,0.0629561363730478,0.0535866801041238,0.0586488041705711,0.73858591045612,0.678253649603957,0.725083117118773,0.965049531980092,1.0970919455215,1.0746173666569,0.0540621483169896,0.0508879326692728,0.0619887851390646,0.574243369810738,0.584142864789853,0.673820485308739,16.4067238689548,13.9436166924266,14.7888940809969,14.45,12.19,12.792,18.29,15.644,16.88,6.55302476717629,6.6970619883153,6.56057141482866,5.279802,5.5677912,5.232443776,7.54851692,7.683551856,7.672672264,7.59282995319813,7.85910510046368,7.74095950155763,7.488,7.761,7.6331,7.676,7.9324,7.829
"74","tphdo_mpa_56",56,"North Farallon Islands SMR","North Farallon Islands",-123.07218,37.78589,"norca",1.01559669465288,0.895673006516055,0.913374924220231,0.0539829173764514,0.0491343873944011,0.0514592993737989,0.558852361600787,0.525453745144191,0.566919159513085,0.968837723662501,1.03976323076908,1.05887309499016,0.0484259471024433,0.0536193820081714,0.0587049010696503,0.475147050415058,0.543330365795807,0.567134939174739,15.9064106583072,13.4185169753086,14.0496904024768,14.014,11.604,12.12,17.653,15.093,16.015,6.61757252137931,6.93789290567901,6.7342613876161,5.815461912,6.19496768,5.8637801,7.38532304,7.671072324,7.47011986,7.58994200626959,7.86404320987654,7.7404907120743,7.5147,7.7857,7.6565,7.664,7.9333,7.817
"75","tphdo_mpa_57",57,"North Farallon Islands Special Closure","North Farallon Islands",-123.1018467,37.7676,"norca",1.0713147272903,0.914574430369772,0.96134293160702,0.0558180412060881,0.050661898827599,0.0545790921183771,0.56567389234645,0.522172469018661,0.572369786065218,0.991125242573059,1.05673754460625,1.07299280543822,0.0455854923520479,0.0510478176035797,0.0555781404607175,0.433500791209445,0.498361998642729,0.519144956856816,16.1150233281493,13.534807751938,14.2459069767442,14.302,11.842,12.29,17.968,15.26,16.176,6.79533085760498,7.08663780700775,6.88404323404651,5.97097608,6.40615976,6.043933344,7.503078624,7.80450732,7.677792072,7.60460186625194,7.87586201550388,7.75488062015504,7.525,7.802,7.6674,7.681,7.9442,7.8356
"76","tphdo_mpa_58",58,"Pacific Grove Marine Gardens SMCA","Pacific Grove Marine Gardens",-121.92761,36.63888,"centralca",1.07403717999681,0.803375671957856,0.946638459056795,0.0587526470199585,0.0511660534967661,0.0538800819955961,0.68352776819442,0.71763692847263,0.705473864599871,0.993626154966347,1.1105749727948,1.04975682142026,0.0494712228968144,0.0495720308007845,0.0559160865985257,0.496136167587682,0.55416202466047,0.595157859359118,17.0185871271586,14.5163141524106,15.3827769110764,15.216,12.884,13.59,18.954,15.958,17.18,6.64775321167975,6.89287992099533,6.78183865123245,5.627308968,5.894818936,5.71498568,7.519078024,7.832666264,7.7277102,7.60356043956044,7.87620217729393,7.76271294851794,7.519,7.804,7.688,7.6824,7.944,7.835
"77","tphdo_mpa_59",59,"Painted Cave SMCA","Painted Cave",-119.86634,34.07817,"channel",0.935208610591974,0.766599326725456,0.857919740237085,0.0439266156361735,0.0276756133670358,0.0365429541276029,0.427084411471654,0.38106197577897,0.409061226157917,0.951137500018494,1.29256686708058,1.08813601640944,0.0155487826664909,0.0191665133661823,0.019249082636749,0.157322595866246,0.192729930495474,0.194043046914127,18.15090625,15.7957142857143,16.5313707165109,16.547,14.152,15.052,19.711,17.37,17.909,7.2826418906875,7.59148673714286,7.39475820018692,6.610312104,7.020216732,6.75814656,7.792027788,8.09249652,7.951381812,7.675709375,7.95364130434783,7.83597507788162,7.616,7.9083,7.7811,7.7301,7.99,7.8849
"78","tphdo_mpa_6",6,"Anacapa Island SMR","Anacapa Island",-119.38402,34.03784,"channel",0.923621963287452,0.658691891642753,0.867567418367271,0.0325122018170952,0.0163557285171085,0.0244149651159008,0.210829470886821,0.181148023300087,0.208533077717017,1.21408714115754,1.61199571824164,1.37485025688701,0.00910688773937417,0.00827237686706262,0.0104723426117695,0.107401413741011,0.127674946804028,0.102309456661901,19.6840405616225,17.428198757764,18.1171450858034,18.18,15.653,16.47,21.15,18.917,19.74,7.74657002315133,8.0927996142236,7.92537392617785,7.51331824,7.840665964,7.61891428,7.97730084,8.32288788,8.13409496,7.71859438377535,7.99151708074534,7.87841185647426,7.681,7.97,7.846,7.76,8.011,7.91
"79","tphdo_mpa_60",60,"Piedras Blancas SMCA","Piedras Blancas",-121.34706,35.68234,"centralca",1.11952978849715,0.865006758696558,0.98527882146701,0.0573279802051143,0.0439093844326017,0.0496431723369998,0.621326860731712,0.583241589702613,0.574857178030238,0.894477726337122,1.14897946229792,1.03705669832975,0.0354944002263959,0.0364221424041228,0.0414621557457485,0.372985683977504,0.401735465110797,0.448741006263441,16.9526947040498,14.6682998454405,15.4033903576983,15.052,12.8,13.56,18.889,16.324,17.138,6.94598250654206,7.19708404049459,7.01577422363919,5.950816836,6.196887608,6.04137344,7.7757084,8.02849892,7.821786672,7.63252180685358,7.91002163833076,7.7905800933126,7.5481,7.83,7.7064,7.705,7.971,7.8578
"80","tphdo_mpa_61",61,"Piedras Blancas SMR","Piedras Blancas",-121.30478,35.68093,"centralca",1.15151645970309,0.861126013008949,0.958132949706532,0.0618204258720559,0.0458100751040542,0.0524592016556574,0.690131261076252,0.630936883393046,0.650151658704347,0.880878678958015,1.15982044089419,1.03226444106942,0.0373048916810685,0.0384123421178314,0.042928117118097,0.42870168251779,0.458977894842923,0.498689692618524,16.7909204368175,14.5420436817473,15.2501092043682,14.9,12.61,13.31,18.68,16.14,17.16,6.77496964205928,7.03154909953198,6.85470206539782,5.52619276,5.86857992,5.67018736,7.74050972,7.8877042,7.81410696,7.61895163806552,7.89908268330733,7.77830265210608,7.522,7.815,7.688,7.699,7.961,7.857
"81","tphdo_mpa_62",62,"Pillar Point SMCA","Pillar Point",-122.53774,37.48733,"norca",1.07831901398041,0.937160051595945,1.02591607638175,0.0677777901897245,0.0636102228774704,0.0647232185403577,0.821767102316515,0.840536013707144,0.868027648640782,1.00287392285403,1.08187344647752,1.09673521208864,0.0789355555068544,0.081357890071081,0.0906354085197857,0.897474009753782,1.01972053617242,1.05756799788173,15.9804375,13.7155813953488,14.3849534161491,13.909,11.888,12.35,17.76,15.406,16.48,5.8070392278625,6.00159074586047,5.85832539772671,4.415514412,4.731982544,4.424154088,7.110773336,7.304046088,7.297966316,7.52681875,7.80130542635659,7.68019720496894,7.4159,7.7098,7.569,7.634,7.898,7.7887
"82","tphdo_mpa_63",63,"Point Arena SMCA","Point Arena",-123.78764,38.96141,"norca",1.01499946669678,0.886808071667397,1.0448582876948,0.064549448453853,0.0620798401672177,0.0648108470257923,0.801460431273655,0.797172565653596,0.823676405580985,0.922642191912028,0.97533144884759,1.06024439568889,0.0936530126504976,0.0961235363461347,0.100626766733201,1.08072882606352,1.12902777744786,1.13225826917771,14.2419781931464,11.8546547433904,12.629725984252,12.361,10.134,10.77,15.987,13.608,14.576,4.99826539290966,5.41351518152411,5.32700400938583,3.801777428,4.285919272,4.15024436,6.287124224,6.642310904,6.673029752,7.45835825545171,7.74277449455677,7.62796535433071,7.37,7.653,7.534,7.564,7.8418,7.735
